City,State,Population,high_school,bachelor,graduate,unemployment,median_income,obesity_rate
Anchorage,Alaska,301010,92.7,33.1,11.2,6.8,79045,25.9
Auburn,Alabama,60258,94.9,61.3,28.9,7.4,39903,30.2
Birmingham,Alabama,212247,87.1,25.3,8.7,10.8,32378,31.1
Decatur,Alabama,55532,82.7,24.9,7.8,5.7,42837,35
Dothan,Alabama,68409,87.7,24.8,9.2,7.9,44208,33
Hoover,Alabama,84353,96.2,54.1,20.2,2.5,77365,31.1
Huntsville,Alabama,188226,91.4,42.3,16.9,6.9,46769,30.9
Mobile,Alabama,194675,86.6,28.3,9.7,8.3,38678,29.9
Montgomery,Alabama,200481,85.5,31.7,11.7,6.9,41836,33
Tanner-Williams,Alabama,60211,88.3,29.8,10.4,5.6,54698,29.9
Tuscaloosa,Alabama,96122,86.8,37.8,15,3.3,44125,32.2
Conway,Arkansas,64490,92.9,37.3,14.1,9.2,46923,29.1
Fayetteville,Arkansas,80621,92.2,48.5,19.3,13.9,39546,25.2
Fort Smith,Arkansas,87351,77.7,19,5.1,3.5,33534,27.8
Jonesboro,Arkansas,72210,91.9,29.1,10.5,6.4,38094,29.3
Little Rock,Arkansas,197706,90.8,39.7,16.9,6,44251,27
North Little Rock,Arkansas,66810,83.2,24.6,7,4.6,39686,27
Rogers,Arkansas,61464,82.2,28.6,9.9,3,55326,27
Springdale,Arkansas,76565,75.5,22.4,5.9,4.9,48953,25.2
Arivaca,Arizona,59243,81.7,21.7,7.8,6.5,45034,21.2
Avondale,Arizona,79646,80.4,19,6.1,4.3,51206,22.5
Buckeye,Arizona,59470,84.3,16.2,3.8,5.8,60868,22.5
Casa Grande,Arizona,51478,86.4,17.4,5.9,7.8,45507,28.1
Casas Adobes,Arizona,66795,93.7,35.3,14.7,4.5,54766,21.2
Catalina Foothills,Arizona,50796,98,63.8,33.7,3.8,80181,21.2
Chandler,Arizona,254276,93,43.2,15.7,3.4,75562,22.5
Coconino,Arizona,81338,90.3,38.3,14.8,4.7,56573,21.5
Deer Valley,Arizona,186030,93.2,33.6,10.6,3.4,84557,22.5
Flagstaff,Arizona,68785,94.4,44.7,21.8,5.1,51616,21.5
Gilbert,Arizona,239277,95.8,40.5,14.3,2.5,86045,22.5
Glendale,Arizona,237517,82.5,21.3,7.4,5,45812,22.5
Goodyear,Arizona,75664,93,30.1,12.9,4.1,73164,22.5
Lake Havasu City,Arizona,53103,88.5,13.8,5.5,7.6,45541,26.2
Mesa,Arizona,464704,87.1,25.2,8.2,4.7,49177,22.5
North Pinal,Arizona,100105,80,12.5,4.3,6.1,52506,28.1
Peoria,Arizona,166934,93,29.4,10.6,3.9,66308,22.5
Phoenix,Arizona,1537058,80.2,26.6,9.4,5,48452,22.5
San Tan Valley,Arizona,81321,89.7,15.1,4.4,7.4,50770,28.1
Scottsdale,Arizona,230512,94.6,55.1,20.1,3.1,75346,22.5
Surprise,Arizona,126275,92.3,26.3,9.9,5.7,65688,22.5
Tempe,Arizona,172816,92.3,43.8,19.1,4.3,51688,22.5
Tucson,Arizona,527972,83.2,26.5,10.7,7.2,38155,21.2
Yuma,Arizona,93400,77.7,18,7.3,9.1,43663,25.7
Alameda,California,77660,88.2,46.1,18.6,4.4,75212,19.3
Alhambra,California,85569,81.4,36.4,10.7,6.8,51532,20.4
Aliso Viejo,California,50231,96.8,59.4,18.8,2.6,97735,18.5
Anaheim,California,346997,76.4,24.9,7.9,7.9,57550,18.5
Antioch,California,108930,85.9,19.4,4.2,5.2,59356,22.2
Apple Valley,California,71595,87.5,15.9,7.7,8.9,48734,27.1
Arcadia,California,58232,92.2,51.9,19.6,4.4,75786,20.4
Arden-Arcade,California,92186,92.1,33.8,11.5,6.4,46340,25
Bakersfield,California,368759,79.3,21.4,7.5,8.5,61039,29.4
Baldwin Park,California,77119,65.7,13.9,3.2,9.9,47502,20.4
Bellflower,California,78236,75.8,19.6,4.9,8,50692,20.4
Berkeley,California,118853,95.8,73.1,40.6,5.5,73462,19.3
Brentwood,California,57019,90.6,29.3,7.3,4,95960,22.2
Buena Park,California,83105,81.2,30.8,6.4,6.1,68656,18.5
Burbank,California,105368,91.3,38.4,13.7,6.3,70816,20.4
Camarillo,California,66923,89.8,41.2,16.6,3.6,85495,23.1
Carlsbad,California,112299,95.6,54.8,23.3,5.3,96346,22.2
Carmichael,California,61762,91.8,31.9,14.2,7.7,51844,25
Carson,California,93271,79.1,26.8,6.1,7.9,77162,20.4
Castro Valley,California,61388,92.2,37.2,13.1,4.1,92499,19.3
Cathedral City,California,53437,75.3,16.7,6.2,6.8,41062,24.5
Central Coast,California,238434,88.6,46.3,17.3,4.9,83125,18.5
Central Contra Costa,California,486883,92.4,45.8,16.3,3.6,95353,22.2
Cerritos,California,50004,91.7,48.2,17.2,3.9,95043,20.4
Chico,California,89180,92.9,40.1,12.1,9.5,45598,25.1
Chino Hills,California,77005,92.5,43.1,14.7,4.9,102890,27.1
Chino,California,84723,75.1,17,5.2,7.4,72155,27.1
